course_id,title,credits,course_type,description,Prerequisites,OnlyOneOfThese,skills_taught
BUAN 6333,Foundations of Programming for Business Analytics,3,Elective,"This course will introduce students to two of the most popular and widely used languages in analytics: Python and R. Various packages, libraries, and functions associated with these languages will be covered in detail. The course is intended to prepare students for advanced courses that use one or both of these languages, i.e., the intended audience comprises students who want to gain a solid understanding of programming in the context of analytics.",None,,"Python, R"
BUAN 6340,Programming for Data Science,3,Elective,"In the era of big data, it is critical to utilize said data to extract useful knowledge and
insights. The primary objective of this course is to introduce students to various data
analytics techniques for extracting business intelligence. Along the way we will develop
familiarity with Python, a widely used programming language across academia and
industry. The course will cover both basic programming concepts in Python as well as
useful packages for data science, including NumPy, Pandas, Polars, Matplotlib, Seaborn
and Scikit-Learn.","BUAN 6356, BUAN 6383, MIS 6386, MIS 6334, MIS 6356, MIS 6382.",,"Python, Programming Fundamentals, Data Manipulation, Feature Engineering, Anomaly Detection, Regression Analysis"
BUAN 6346,Big Data,3,Elective,"Master the rapidly evolving Big Data landscape with this comprehensive course, delving into Spark
and the essential components of the Hadoop ecosystem. Not only will you gain a thorough
understanding of core Spark and Hadoop concepts, but you'll also learn to expertly wield industrystandard tools such as Sqoop, Hive, Impala, Pig, Flume, and Spark to efficiently develop end-to-end
Big Data applications. Perfect for both professionals and students, this course equips you with the
skills to tackle the complex challenges faced by today's enterprises and research institutions.","BUAN 6320, MIS 6320, MIS 6326.",,"Big Data, Hadoop, HDFS, Impala, Hive, Data Modeling, Spark, Data Aggregation, Spark SQL"
BUAN 6347,Advanced Big Data Analytics,3,Elective,"The course covers Spark using Scala in a Hadoop environment. The topics include Scala syntax, Spark streaming, GraphX, MLlib, and other features of Spark. This advanced course requires students to have prior skills and working knowledge of big data environment and Python functional programming.",BUAN 6346,,"scala programming, spark programming, big data processing, spark streaming, graph analytics using graphx, machine learning with mllib, distributed data processing, hadoop ecosystem, functional programming concepts"
BUAN 6358,AWS Cloud Analytics,3,Elective,"This course integrates data engineering, machine learning, and AI services to build enterprise analytics platforms. Students will create data pipelines for ingesting, storing, processing, and visualizing batch and streaming data. The course covers selecting and applying machine learning models, including foundation models and LLMs, to solve business problems. Through hands-on labs, students will model, build, train, and deploy custom ML models and AI algorithms. Aligned with AWS Data Engineering and Machine Learning certifications, this course prepares students to lead data-driven AI initiatives",None,,"data engineering, data pipeline development, data ingestion, data storage architecture, batch data processing, streaming data processing, data visualization, machine learning model development, model training, model deployment, ai model development, foundation models, large language models, enterprise analytics platforms, cloud data engineering, aws, aws data engineering tools, aws machine learning services"
BUAN 6385,Robotic Process Automation,3,Elective,"This course is intended to provide students with practical literacy on robotic process automation
through real-world, relevant data preparation use cases. It will help identify potential uses and the
benefits and considerations for robotic process automation. The students will learn the elements
of a business process and the basics of developing a BPM application, implementing triggers to
automate processes, defining and measuring KPIs. Students will use elements of artificial
intelligence (AI) and machine learning capabilities to handle high-volume, repeatable tasks that
previously required humans to perform. These tasks can include queries, calculations, and
maintenance of records and transactions. Students will be able to use apply analytics to the
generated data for a systematic computational analysis of data for the discovery, interpretation,
and communication of meaningful patterns in data that will be used towards effective decision
making",None,"MIS 6385, SYSM 6339, BUAN 6385","robotic process automation, business process management, business process modeling, process orchestration, process reengineering, process optimization, bpm application development, workflow automation, automation triggers, kpi development and measurement, data preparation, artificial intelligence applications, machine learning applications, task automation, query automation, transaction processing automation, data analytics, pattern discovery, data interpretation, decision making analytics"
MIS 6309,Business Data Warehousing,3,Elective,"Provides in-depth knowledge of data warehousing principles, data warehouse techniques, and business intelligence systems. Discusses the topics of data warehouse design, Extract-Transform-Load (ETL), data cubes, and data marts. Will create business intelligence using data warehouses with several OLAP and analytical tools. SAP, Business Objects, Cognos, or other data warehousing tools will be used to illustrate data warehousing concepts.",None,"ACCT 6309, MIS 6309","data warehousing, data warehouse architecture, data warehouse design, extract transform load (etl), data integration, data cubes, data marts, business intelligence systems, online analytical processing (olap), multidimensional data analysis, business intelligence reporting, analytical tools, sap, sap businessobjects, ibm cognos"
MIS 6363,Cloud Computing Fundamentals,3,Elective,"This course is designed as a primer to discuss the information technology that is impacting
our businesses and changing our lives: cloud computing. The course is designed to
understand the fundamentals of cloud computing and then deep dive into Amazon Web
Services (AWS), Google Cloud Platform (GCP), and GenAI in Google Cloud, so the
students will build a T-Shape structure: Multi-cloud and Hybrid-cloud.
The course examines Cloud Computing from both technology and business perspectives,
so students will explore how Cloud Computing revolutionizes diverse business sectors. It
aims to deliver a holistic and balanced view of the business model, technology framework,
data intelligence, and security practice of Cloud Computing, and thus provide concepts
and ideas for the technology students to address business challenges and the business
students to decode technology encryptions. It serves as a launchpad to develop our
visionary technology and business leaders in the future.",None,,"cloud computing, multi cloud architecture, hybrid cloud architecture, cloud computing fundamentals, cloud service models, cloud infrastructure, cloud security, cloud business models, cloud data intelligence, amazon web services aws, google cloud platform gcp, generative ai in cloud, cloud based application development, cloud deployment strategies, cloud solutions for business"
MIS 6389,AWS Cloud Solution Architecture,3,Elective," This course is designed as a primer for our
graduate students to learn the Amazon Web Services (AWS) cloud computing and security. The
course focuses on the AWS Well-Architected Framework and deep-dives the five architectural
pillars: operational excellence, security, reliability, performance efficiency, and cost
optimization. This course builds a solid foundation for our graduate students in AWS cloud
computing architecture design and helps to prepare for the AWS Solution Architecture
certifications",None,,"amazon web services aws, cloud computing architecture, aws well architected framework, operational excellence in cloud, cloud security, cloud reliability, performance efficiency in cloud systems, cloud cost optimization, cloud architecture design, cloud infrastructure management, aws solution architecture, cloud deployment strategies"
BUAN 6311,Robotics and Financial Technology,3,Elective,This course focuses on different robotic technologies used in finance. ,None,"FTEC 6311, BUAN 6311","robotic process automation, financial automation, robotics in finance, process automation tools, business process management, automation technologies, financial workflow automation, task automation in finance"
